session_id,date,street,area,hours_parked,rate_per_hour,payment_method,vehicle_type,revenue,month,day_of_week,is_weekend,avg_temperature_c,snowfall_cm,weather_condition,snow_impact
1018,2025-01-01,Prescott Street,Downtown,2.0,1.75,Mobile App,Car,3.5,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1019,2025-01-01,Churchill Square,Churchill Square,0.5,1.0,Coin,SUV,0.5,2025-01,Wednesday,0,-3,0,Clear/Cloudy,No Snow
1020,2025-01-02,Harbour Drive,Downtown,1.0,1.75,Credit Card,SUV,1.75,2025-01,Thursday,0,-8,5,Snow,High Snow
1021,2025-01-02,Harbour Drive,Downtown,1.5,1.75,Mobile App,Car,0.88,2025-01,Thursday,0,-8,5,Snow,High Snow
1022,2025-01-02,Water Street,Downtown,2.0,1.75,Mobile App,Car,3.5,2025-01,Thursday,0,-8,5,Snow,High Snow
1023,2025-01-02,Elizabeth Avenue,University Area,1.0,1.25,Credit Card,SUV,1.25,2025-01,Thursday,0,-8,5,Snow,High Snow
1024,2025-01-02,Harbour Drive,Downtown,1.5,1.75,Mobile App,Van,2.62,2025-01,Thursday,0,-8,5,Snow,High Snow
1025,2025-01-02,Harbour Drive,Downtown,2.0,1.75,Credit Card,SUV,3.5,2025-01,Thursday,0,-8,5,Snow,High Snow
1026,2025-01-02,Harbour Drive,Downtown,1.5,1.75,Mobile App,Car,2.62,2025-01,Thursday,0,-8,5,Snow,High Snow
1027,2025-01-02,Churchill Square,Churchill Square,1.0,1.0,Debit Card,Car,1.0,2025-01,Thursday,0,-8,5,Snow,High Snow
1028,2025-01-02,Churchill Square,Churchill Square,1.5,1.0,Debit Card,Car,1.5,2025-01,Thursday,0,-8,5,Snow,High Snow
1029,2025-01-02,Churchill Square,Churchill Square,1.5,1.0,Mobile App,Van,1.5,2025-01,Thursday,0,-8,5,Snow,High Snow
1030,2025-01-02,Harbour Drive,Downtown,2.0,1.75,Debit Card,SUV,3.5,2025-01,Thursday,0,-8,5,Snow,High Snow
1031,2025-01-02,Elizabeth Avenue,University Area,2.0,1.25,Debit Card,Truck,2.5,2025-01,Thursday,0,-8,5,Snow,High Snow
1032,2025-01-02,Prescott Street,Downtown,1.5,1.75,Debit Card,Car,2.62,2025-01,Thursday,0,-8,5,Snow,High Snow
1033,2025-01-02,Prescott Street,Downtown,1.0,1.75,Debit Card,Car,1.75,2025-01,Thursday,0,-8,5,Snow,High Snow
1034,2025-01-02,Harbour Drive,Downtown,1.5,1.75,Debit Card,Truck,2.62,2025-01,Thursday,0,-8,5,Snow,High Snow
1035,2025-01-02,Elizabeth Avenue,University Area,1.5,1.25,Mobile App,Car,1.88,2025-01,Thursday,0,-8,5,Snow,High Snow
1036,2025-01-02,Harbour Drive,Downtown,1.0,1.75,Mobile App,Car,1.75,2025-01,Thursday,0,-8,5,Snow,High Snow
1037,2025-01-02,Water Street,Downtown,1.5,1.75,Mobile App,Car,2.62,2025-01,Thursday,0,-8,5,Snow,High Snow
1038,2025-01-02,Prescott Street,Downtown,1.0,1.75,Credit Card,Car,1.75,2025-01,Thursday,0,-8,5,Snow,High Snow
1039,2025-01-02,Water Street,Downtown,3.0,1.75,Mobile App,Van,5.25,2025-01,Thursday,0,-8,5,Snow,High Snow
1040,2025-01-03,Churchill Square,Churchill Square,1.0,1.0,Credit Card,SUV,1.0,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1041,2025-01-03,Churchill Square,Churchill Square,1.5,1.0,Coin,Car,1.5,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1042,2025-01-03,Prescott Street,Downtown,0.5,1.75,Mobile App,Car,0.88,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1043,2025-01-03,Elizabeth Avenue,University Area,1.0,1.25,Credit Card,SUV,1.25,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1044,2025-01-03,Harbour Drive,Downtown,2.0,1.75,Debit Card,Car,3.5,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1045,2025-01-03,Harbour Drive,Downtown,1.0,1.75,Mobile App,SUV,1.75,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1046,2025-01-03,Harbour Drive,Downtown,1.0,1.75,Credit Card,Truck,1.75,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1047,2025-01-03,Prescott Street,Downtown,2.0,1.75,Mobile App,SUV,3.5,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1048,2025-01-03,Duckworth Street,Downtown,2.5,1.75,Credit Card,SUV,4.38,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1049,2025-01-03,Duckworth Street,Downtown,3.0,1.75,Debit Card,Car,5.25,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1050,2025-01-03,Prescott Street,Downtown,1.0,1.75,Coin,Car,1.75,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1051,2025-01-03,Water Street,Downtown,1.0,1.75,Mobile App,Car,1.75,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1052,2025-01-03,Churchill Square,Churchill Square,2.5,1.0,Mobile App,Car,2.5,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1053,2025-01-03,Harbour Drive,Downtown,2.0,1.75,Debit Card,Truck,3.5,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1054,2025-01-03,Water Street,Downtown,2.0,1.75,Mobile App,Car,3.5,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1055,2025-01-03,Elizabeth Avenue,University Area,2.0,1.25,Credit Card,Car,2.5,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1056,2025-01-03,Water Street,Downtown,2.0,1.75,Mobile App,Car,3.5,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1057,2025-01-03,Duckworth Street,Downtown,1.5,1.75,Mobile App,Van,2.62,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1058,2025-01-03,Prescott Street,Downtown,2.0,1.75,Mobile App,Car,3.5,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1059,2025-01-03,Prescott Street,Downtown,1.0,1.75,Debit Card,SUV,1.75,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1060,2025-01-03,Water Street,Downtown,1.5,1.75,Credit Card,SUV,2.62,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1061,2025-01-03,Elizabeth Avenue,University Area,1.0,1.25,Coin,Car,1.25,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1062,2025-01-03,Elizabeth Avenue,University Area,2.5,1.25,Mobile App,Car,3.12,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1063,2025-01-03,Water Street,Downtown,2.0,1.75,Credit Card,Car,3.5,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1064,2025-01-03,Churchill Square,Churchill Square,1.5,1.0,Credit Card,SUV,1.5,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1065,2025-01-03,Water Street,Downtown,3.0,1.75,Credit Card,Car,5.25,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1066,2025-01-03,Elizabeth Avenue,University Area,1.5,1.25,Mobile App,Van,1.88,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1067,2025-01-03,Water Street,Downtown,1.5,1.75,Credit Card,Van,2.62,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1068,2025-01-03,Prescott Street,Downtown,1.0,1.75,Mobile App,Truck,1.75,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1069,2025-01-03,Harbour Drive,Downtown,1.0,1.75,Credit Card,Van,1.75,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1070,2025-01-03,Duckworth Street,Downtown,3.0,1.75,Mobile App,Car,5.25,2025-01,Friday,0,2,0,Clear/Cloudy,No Snow
1071,2025-01-04,Duckworth Street,Downtown,1.0,1.75,Mobile App,Car,1.75,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1072,2025-01-04,Water Street,Downtown,1.0,1.75,Credit Card,SUV,1.75,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1073,2025-01-04,Duckworth Street,Downtown,2.0,1.75,Debit Card,Truck,3.5,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1074,2025-01-04,Churchill Square,Churchill Square,0.5,1.0,Mobile App,SUV,0.5,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1075,2025-01-04,Prescott Street,Downtown,2.0,1.75,Credit Card,SUV,3.5,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1076,2025-01-04,Prescott Street,Downtown,2.5,1.75,Mobile App,SUV,4.38,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1077,2025-01-04,Elizabeth Avenue,University Area,1.0,1.25,Mobile App,Van,1.25,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1078,2025-01-04,Elizabeth Avenue,University Area,2.0,1.25,Mobile App,Car,2.5,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1079,2025-01-04,Elizabeth Avenue,University Area,1.0,1.25,Credit Card,Car,1.25,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1080,2025-01-04,Churchill Square,Churchill Square,1.0,1.0,Coin,Car,1.0,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1081,2025-01-04,Elizabeth Avenue,University Area,0.5,1.25,Credit Card,SUV,0.62,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1082,2025-01-04,Prescott Street,Downtown,1.0,1.75,Coin,SUV,1.75,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1083,2025-01-04,Harbour Drive,Downtown,2.0,1.75,Mobile App,Car,3.5,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1084,2025-01-04,Duckworth Street,Downtown,0.5,1.75,Coin,Truck,0.88,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1085,2025-01-04,Water Street,Downtown,2.0,1.75,Mobile App,Truck,3.5,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1086,2025-01-04,Duckworth Street,Downtown,1.0,1.75,Mobile App,Car,1.75,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1087,2025-01-04,Churchill Square,Churchill Square,1.0,1.0,Coin,SUV,1.0,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1088,2025-01-04,Churchill Square,Churchill Square,2.0,1.0,Mobile App,Car,2.0,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1089,2025-01-04,Harbour Drive,Downtown,2.0,1.75,Mobile App,Car,3.5,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1090,2025-01-04,Churchill Square,Churchill Square,0.5,1.0,Mobile App,Van,0.5,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1091,2025-01-04,Churchill Square,Churchill Square,1.5,1.0,Mobile App,Car,1.5,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1092,2025-01-04,Prescott Street,Downtown,1.0,1.75,Mobile App,Car,1.75,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1093,2025-01-04,Duckworth Street,Downtown,3.0,1.75,Debit Card,Car,5.25,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1094,2025-01-04,Duckworth Street,Downtown,2.0,1.75,Credit Card,Truck,3.5,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1095,2025-01-04,Churchill Square,Churchill Square,2.0,1.0,Credit Card,Van,2.0,2025-01,Saturday,1,-7,0,Clear/Cloudy,No Snow
1096,2025-01-05,Prescott Street,Downtown,2.0,1.75,Coin,SUV,3.5,2025-01,Sunday,1,3,5,Snow,High Snow
1097,2025-01-05,Duckworth Street,Downtown,2.0,1.75,Mobile App,Truck,3.5,2025-01,Sunday,1,3,5,Snow,High Snow
1098,2025-01-05,Harbour Drive,Downtown,3.0,1.75,Mobile App,Van,5.25,2025-01,Sunday,1,3,5,Snow,High Snow
1099,2025-01-05,Duckworth Street,Downtown,1.0,1.75,Mobile App,Car,1.75,2025-01,Sunday,1,3,5,Snow,High Snow
1100,2025-01-05,Elizabeth Avenue,University Area,0.5,1.25,Mobile App,SUV,0.62,2025-01,Sunday,1,3,5,Snow,High Snow
1101,2025-01-05,Water Street,Downtown,2.0,1.75,Mobile App,SUV,3.5,2025-01,Sunday,1,3,5,Snow,High Snow
1102,2025-01-05,Elizabeth Avenue,University Area,2.0,1.25,Mobile App,Car,2.5,2025-01,Sunday,1,3,5,Snow,High Snow
1103,2025-01-05,Churchill Square,Churchill Square,1.0,1.0,Coin,Car,1.0,2025-01,Sunday,1,3,5,Snow,High Snow
1104,2025-01-05,Water Street,Downtown,2.0,1.75,Mobile App,Car,3.5,2025-01,Sunday,1,3,5,Snow,High Snow
1105,2025-01-05,Water Street,Downtown,1.5,1.75,Credit Card,SUV,2.62,2025-01,Sunday,1,3,5,Snow,High Snow
1106,2025-01-05,Prescott Street,Downtown,1.5,1.75,Debit Card,Car,2.62,2025-01,Sunday,1,3,5,Snow,High Snow
1107,2025-01-05,Elizabeth Avenue,University Area,1.5,1.25,Mobile App,SUV,1.88,2025-01,Sunday,1,3,5,Snow,High Snow
1108,2025-01-05,Water Street,Downtown,1.0,1.75,Mobile App,SUV,1.75,2025-01,Sunday,1,3,5,Snow,High Snow
1109,2025-01-05,Prescott Street,Downtown,2.5,1.75,Mobile App,Truck,4.38,2025-01,Sunday,1,3,5,Snow,High Snow
1110,2025-01-05,Water Street,Downtown,0.5,1.75,Coin,Truck,0.88,2025-01,Sunday,1,3,5,Snow,High Snow
1111,2025-01-05,Water Street,Downtown,1.0,1.75,Coin,Van,1.75,2025-01,Sunday,1,3,5,Snow,High Snow
1112,2025-01-05,Harbour Drive,Downtown,1.5,1.75,Mobile App,Car,2.62,2025-01,Sunday,1,3,5,Snow,High Snow
1113,2025-01-06,Prescott Street,Downtown,2.0,1.75,Debit Card,SUV,3.5,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1114,2025-01-06,Water Street,Downtown,0.5,1.75,Coin,Van,0.88,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1115,2025-01-06,Elizabeth Avenue,University Area,1.5,1.25,Mobile App,Truck,1.88,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1116,2025-01-06,Harbour Drive,Downtown,2.0,1.75,Coin,SUV,3.5,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1117,2025-01-06,Duckworth Street,Downtown,2.0,1.75,Mobile App,Car,3.5,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1118,2025-01-06,Churchill Square,Churchill Square,1.0,1.0,Mobile App,Truck,1.0,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1119,2025-01-06,Duckworth Street,Downtown,0.5,1.75,Mobile App,Van,0.88,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1120,2025-01-06,Churchill Square,Churchill Square,1.5,1.0,Debit Card,Van,1.5,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1121,2025-01-06,Water Street,Downtown,2.0,1.75,Mobile App,SUV,3.5,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1122,2025-01-06,Harbour Drive,Downtown,2.0,1.75,Credit Card,Car,3.5,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1123,2025-01-06,Duckworth Street,Downtown,1.0,1.75,Mobile App,Car,1.75,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1124,2025-01-06,Duckworth Street,Downtown,1.5,1.75,Mobile App,Car,2.62,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1125,2025-01-06,Churchill Square,Churchill Square,2.5,1.0,Debit Card,SUV,2.5,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1126,2025-01-06,Prescott Street,Downtown,3.0,1.75,Mobile App,Car,5.25,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1127,2025-01-06,Water Street,Downtown,1.0,1.75,Coin,Car,1.75,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1128,2025-01-06,Churchill Square,Churchill Square,0.5,1.0,Debit Card,SUV,0.5,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1129,2025-01-06,Harbour Drive,Downtown,2.5,1.75,Mobile App,SUV,4.38,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1130,2025-01-06,Water Street,Downtown,1.5,1.75,Credit Card,SUV,2.62,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1131,2025-01-06,Water Street,Downtown,2.0,1.75,Credit Card,Truck,3.5,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1132,2025-01-06,Water Street,Downtown,2.5,1.75,Coin,Car,4.38,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1133,2025-01-06,Elizabeth Avenue,University Area,1.5,1.25,Credit Card,Car,1.88,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1134,2025-01-06,Prescott Street,Downtown,2.0,1.75,Mobile App,Car,3.5,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1135,2025-01-06,Prescott Street,Downtown,0.5,1.75,Coin,Van,0.88,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1136,2025-01-06,Elizabeth Avenue,University Area,0.5,1.25,Mobile App,Car,0.62,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1137,2025-01-06,Churchill Square,Churchill Square,2.0,1.0,Mobile App,Truck,2.0,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1138,2025-01-06,Churchill Square,Churchill Square,3.0,1.0,Mobile App,SUV,3.0,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1139,2025-01-06,Water Street,Downtown,1.5,1.75,Coin,Truck,2.62,2025-01,Monday,0,-3,2,Light Snow,Low Snow
1140,2025-01-07,Water Street,Downtown,2.0,1.75,Credit Card,Van,3.5,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1141,2025-01-07,Harbour Drive,Downtown,2.0,1.75,Mobile App,Van,3.5,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1142,2025-01-07,Harbour Drive,Downtown,1.5,1.75,Mobile App,Car,2.62,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1143,2025-01-07,Water Street,Downtown,0.5,1.75,Mobile App,SUV,0.88,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1144,2025-01-07,Churchill Square,Churchill Square,3.0,1.0,Coin,SUV,3.0,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1145,2025-01-07,Churchill Square,Churchill Square,2.0,1.0,Debit Card,Car,2.0,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1146,2025-01-07,Churchill Square,Churchill Square,1.5,1.0,Mobile App,Van,1.5,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1147,2025-01-07,Churchill Square,Churchill Square,1.0,1.0,Debit Card,SUV,1.0,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1148,2025-01-07,Duckworth Street,Downtown,1.0,1.75,Mobile App,SUV,1.75,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1149,2025-01-07,Duckworth Street,Downtown,1.5,1.75,Debit Card,Car,2.62,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1150,2025-01-07,Water Street,Downtown,1.5,1.75,Credit Card,Truck,2.62,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1151,2025-01-07,Water Street,Downtown,2.0,1.75,Credit Card,Car,3.5,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1152,2025-01-07,Churchill Square,Churchill Square,2.0,1.0,Credit Card,Car,2.0,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1153,2025-01-07,Elizabeth Avenue,University Area,2.0,1.25,Coin,SUV,2.5,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1154,2025-01-07,Duckworth Street,Downtown,1.5,1.75,Mobile App,Truck,2.62,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1155,2025-01-07,Prescott Street,Downtown,1.5,1.75,Credit Card,Truck,2.62,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1156,2025-01-07,Elizabeth Avenue,University Area,2.0,1.25,Debit Card,Van,2.5,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1157,2025-01-07,Prescott Street,Downtown,1.5,1.75,Debit Card,SUV,2.62,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1158,2025-01-07,Prescott Street,Downtown,1.5,1.75,Coin,Car,2.62,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1159,2025-01-07,Churchill Square,Churchill Square,1.0,1.0,Credit Card,Car,1.0,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1160,2025-01-07,Water Street,Downtown,1.5,1.75,Credit Card,Car,2.62,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1161,2025-01-07,Prescott Street,Downtown,1.0,1.75,Mobile App,Truck,1.75,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1162,2025-01-07,Harbour Drive,Downtown,1.5,1.75,Coin,SUV,2.62,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1163,2025-01-07,Harbour Drive,Downtown,0.5,1.75,Mobile App,Car,0.88,2025-01,Tuesday,0,-5,0,Clear/Cloudy,No Snow
1164,2025-01-08,Elizabeth Avenue,University Area,1.0,1.25,Credit Card,Car,1.25,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1165,2025-01-08,Duckworth Street,Downtown,1.0,1.75,Mobile App,Car,1.75,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1166,2025-01-08,Duckworth Street,Downtown,2.0,1.75,Credit Card,Car,3.5,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1167,2025-01-08,Elizabeth Avenue,University Area,1.0,1.25,Mobile App,Car,1.25,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1168,2025-01-08,Prescott Street,Downtown,2.0,1.75,Debit Card,Car,3.5,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1169,2025-01-08,Elizabeth Avenue,University Area,1.0,1.25,Debit Card,SUV,1.25,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1170,2025-01-08,Duckworth Street,Downtown,2.0,1.75,Mobile App,Car,3.5,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1171,2025-01-08,Harbour Drive,Downtown,2.5,1.75,Credit Card,SUV,4.38,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1172,2025-01-08,Churchill Square,Churchill Square,2.5,1.0,Mobile App,Car,2.5,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1173,2025-01-08,Water Street,Downtown,2.0,1.75,Mobile App,SUV,3.5,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1174,2025-01-08,Water Street,Downtown,1.0,1.75,Mobile App,Car,1.75,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1175,2025-01-08,Water Street,Downtown,1.0,1.75,Credit Card,Car,1.75,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1176,2025-01-08,Water Street,Downtown,1.5,1.75,Mobile App,SUV,2.62,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1177,2025-01-08,Duckworth Street,Downtown,1.5,1.75,Credit Card,SUV,2.62,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1178,2025-01-08,Duckworth Street,Downtown,1.0,1.75,Mobile App,SUV,1.75,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1179,2025-01-08,Duckworth Street,Downtown,1.0,1.75,Credit Card,Car,1.75,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1180,2025-01-08,Water Street,Downtown,1.0,1.75,Mobile App,Car,1.75,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1181,2025-01-08,Prescott Street,Downtown,2.5,1.75,Mobile App,Truck,4.38,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1182,2025-01-08,Water Street,Downtown,0.5,1.75,Credit Card,Car,0.88,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1183,2025-01-08,Prescott Street,Downtown,3.0,1.75,Debit Card,SUV,5.25,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1184,2025-01-08,Harbour Drive,Downtown,2.5,1.75,Debit Card,Car,4.38,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1185,2025-01-08,Elizabeth Avenue,University Area,2.0,1.25,Coin,SUV,2.5,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1186,2025-01-08,Duckworth Street,Downtown,1.0,1.75,Debit Card,Car,1.75,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
1187,2025-01-08,Elizabeth Avenue,University Area,2.0,1.25,Mobile App,SUV,2.5,2025-01,Wednesday,0,-7,0,Clear/Cloudy,No Snow
