session_id,date,street,area,hours_parked,rate_per_hour,payment_method,vehicle_type,revenue
1065,2025-01-03,Water Street,Downtown,3.0,1.75,Credit Card,Car,5.25
1066,2025-01-03,Elizabeth Avenue,University Area,1.5,1.25,Mobile App,Van,1.88
1067,2025-01-03,Water Street,Downtown,1.5,1.75,Credit Card,Van,2.62
1068,2025-01-03,Prescott Street,Downtown,1.0,1.75,Mobile App,Truck,1.75
1069,2025-01-03,Harbour Drive,Downtown,1.0,1.75,Credit Card,Van,1.75
1070,2025-01-03,Duckworth Street,Downtown,3.0,1.75,Mobile App,Car,5.25
1071,2025-01-04,Duckworth Street,Downtown,1.0,1.75,Mobile App,Car,1.75
1072,2025-01-04,Water Street,Downtown,1.0,1.75,Credit Card,SUV,1.75
1073,2025-01-04,Duckworth Street,Downtown,2.0,1.75,Debit Card,Truck,3.5
1074,2025-01-04,Churchill Square,Churchill Square,0.5,1.0,Mobile App,SUV,0.5
1075,2025-01-04,Prescott Street,Downtown,2.0,1.75,Credit Card,SUV,3.5
1076,2025-01-04,Prescott Street,Downtown,2.5,1.75,Mobile App,SUV,4.38
1077,2025-01-04,Elizabeth Avenue,University Area,1.0,1.25,Mobile App,Van,1.25
1078,2025-01-04,Elizabeth Avenue,University Area,2.0,1.25,Mobile App,Car,2.5
1079,2025-01-04,Elizabeth Avenue,University Area,1.0,1.25,Credit Card,Car,1.25
1080,2025-01-04,Churchill Square,Churchill Square,1.0,1.0,Coin,Car,1.0
1081,2025-01-04,Elizabeth Avenue,University Area,0.5,1.25,Credit Card,SUV,0.62
1082,2025-01-04,Prescott Street,Downtown,1.0,1.75,Coin,SUV,1.75
1083,2025-01-04,Harbour Drive,Downtown,2.0,1.75,Mobile App,Car,3.5
1084,2025-01-04,Duckworth Street,Downtown,0.5,1.75,Coin,Truck,0.88
1085,2025-01-04,Water Street,Downtown,2.0,1.75,Mobile App,Truck,3.5
1086,2025-01-04,Duckworth Street,Downtown,1.0,1.75,Mobile App,Car,1.75
1087,2025-01-04,Churchill Square,Churchill Square,1.0,1.0,Coin,SUV,1.0
1088,2025-01-04,Churchill Square,Churchill Square,2.0,1.0,Mobile App,Car,2.0
1089,2025-01-04,Harbour Drive,Downtown,2.0,1.75,Mobile App,Car,3.5
1090,2025-01-04,Churchill Square,Churchill Square,0.5,1.0,Mobile App,Van,0.5
1091,2025-01-04,Churchill Square,Churchill Square,1.5,1.0,Mobile App,Car,1.5
1092,2025-01-04,Prescott Street,Downtown,1.0,1.75,Mobile App,Car,1.75
1093,2025-01-04,Duckworth Street,Downtown,3.0,1.75,Debit Card,Car,5.25
1094,2025-01-04,Duckworth Street,Downtown,2.0,1.75,Credit Card,Truck,3.5
1095,2025-01-04,Churchill Square,Churchill Square,2.0,1.0,Credit Card,Van,2.0
1096,2025-01-05,Prescott Street,Downtown,2.0,1.75,Coin,SUV,3.5
1097,2025-01-05,Duckworth Street,Downtown,2.0,1.75,Mobile App,Truck,3.5
1098,2025-01-05,Harbour Drive,Downtown,3.0,1.75,Mobile App,Van,5.25
1099,2025-01-05,Duckworth Street,Downtown,1.0,1.75,Mobile App,Car,1.75
1100,2025-01-05,Elizabeth Avenue,University Area,0.5,1.25,Mobile App,SUV,0.62
1101,2025-01-05,Water Street,Downtown,2.0,1.75,Mobile App,SUV,3.5
1102,2025-01-05,Elizabeth Avenue,University Area,2.0,1.25,Mobile App,Car,2.5
1103,2025-01-05,Churchill Square,Churchill Square,1.0,1.0,Coin,Car,1.0
1104,2025-01-05,Water Street,Downtown,2.0,1.75,Mobile App,Car,3.5
1105,2025-01-05,Water Street,Downtown,1.5,1.75,Credit Card,SUV,2.62
1106,2025-01-05,Prescott Street,Downtown,1.5,1.75,Debit Card,Car,2.62
1107,2025-01-05,Elizabeth Avenue,University Area,1.5,1.25,Mobile App,SUV,1.88
1108,2025-01-05,Water Street,Downtown,1.0,1.75,Mobile App,SUV,1.75
1109,2025-01-05,Prescott Street,Downtown,2.5,1.75,Mobile App,Truck,4.38
1110,2025-01-05,Water Street,Downtown,0.5,1.75,Coin,Truck,0.88
1111,2025-01-05,Water Street,Downtown,1.0,1.75,Coin,Van,1.75
1112,2025-01-05,Harbour Drive,Downtown,1.5,1.75,Mobile App,Car,2.62
1113,2025-01-06,Prescott Street,Downtown,2.0,1.75,Debit Card,SUV,3.5
1114,2025-01-06,Water Street,Downtown,0.5,1.75,Coin,Van,0.88
1115,2025-01-06,Elizabeth Avenue,University Area,1.5,1.25,Mobile App,Truck,1.88
1116,2025-01-06,Harbour Drive,Downtown,2.0,1.75,Coin,SUV,3.5
1117,2025-01-06,Duckworth Street,Downtown,2.0,1.75,Mobile App,Car,3.5
1118,2025-01-06,Churchill Square,Churchill Square,1.0,1.0,Mobile App,Truck,1.0
1119,2025-01-06,Duckworth Street,Downtown,0.5,1.75,Mobile App,Van,0.88
1120,2025-01-06,Churchill Square,Churchill Square,1.5,1.0,Debit Card,Van,1.5
1121,2025-01-06,Water Street,Downtown,2.0,1.75,Mobile App,SUV,3.5
1122,2025-01-06,Harbour Drive,Downtown,2.0,1.75,Credit Card,Car,3.5
1123,2025-01-06,Duckworth Street,Downtown,1.0,1.75,Mobile App,Car,1.75
1124,2025-01-06,Duckworth Street,Downtown,1.5,1.75,Mobile App,Car,2.62
1125,2025-01-06,Churchill Square,Churchill Square,2.5,1.0,Debit Card,SUV,2.5
1126,2025-01-06,Prescott Street,Downtown,3.0,1.75,Mobile App,Car,5.25
1127,2025-01-06,Water Street,Downtown,1.0,1.75,Coin,Car,1.75
1128,2025-01-06,Churchill Square,Churchill Square,0.5,1.0,Debit Card,SUV,0.5
1129,2025-01-06,Harbour Drive,Downtown,2.5,1.75,Mobile App,SUV,4.38
1130,2025-01-06,Water Street,Downtown,1.5,1.75,Credit Card,SUV,2.62
1131,2025-01-06,Water Street,Downtown,2.0,1.75,Credit Card,Truck,3.5
1132,2025-01-06,Water Street,Downtown,2.5,1.75,Coin,Car,4.38
1133,2025-01-06,Elizabeth Avenue,University Area,1.5,1.25,Credit Card,Car,1.88
1134,2025-01-06,Prescott Street,Downtown,2.0,1.75,Mobile App,Car,3.5
1135,2025-01-06,Prescott Street,Downtown,0.5,1.75,Coin,Van,0.88
1136,2025-01-06,Elizabeth Avenue,University Area,0.5,1.25,Mobile App,Car,0.62
1137,2025-01-06,Churchill Square,Churchill Square,2.0,1.0,Mobile App,Truck,2.0
1138,2025-01-06,Churchill Square,Churchill Square,3.0,1.0,Mobile App,SUV,3.0
1139,2025-01-06,Water Street,Downtown,1.5,1.75,Coin,Truck,2.62
1140,2025-01-07,Water Street,Downtown,2.0,1.75,Credit Card,Van,3.5
1141,2025-01-07,Harbour Drive,Downtown,2.0,1.75,Mobile App,Van,3.5
1142,2025-01-07,Harbour Drive,Downtown,1.5,1.75,Mobile App,Car,2.62
1143,2025-01-07,Water Street,Downtown,0.5,1.75,Mobile App,SUV,0.88
1144,2025-01-07,Churchill Square,Churchill Square,3.0,1.0,Coin,SUV,3.0
1145,2025-01-07,Churchill Square,Churchill Square,2.0,1.0,Debit Card,Car,2.0
1146,2025-01-07,Churchill Square,Churchill Square,1.5,1.0,Mobile App,Van,1.5
1147,2025-01-07,Churchill Square,Churchill Square,1.0,1.0,Debit Card,SUV,1.0
1148,2025-01-07,Duckworth Street,Downtown,1.0,1.75,Mobile App,SUV,1.75
1149,2025-01-07,Duckworth Street,Downtown,1.5,1.75,Debit Card,Car,2.62
1150,2025-01-07,Water Street,Downtown,1.5,1.75,Credit Card,Truck,2.62
1151,2025-01-07,Water Street,Downtown,2.0,1.75,Credit Card,Car,3.5
1152,2025-01-07,Churchill Square,Churchill Square,2.0,1.0,Credit Card,Car,2.0
1153,2025-01-07,Elizabeth Avenue,University Area,2.0,1.25,Coin,SUV,2.5
1154,2025-01-07,Duckworth Street,Downtown,1.5,1.75,Mobile App,Truck,2.62
1155,2025-01-07,Prescott Street,Downtown,1.5,1.75,Credit Card,Truck,2.62
1156,2025-01-07,Elizabeth Avenue,University Area,2.0,1.25,Debit Card,Van,2.5
1157,2025-01-07,Prescott Street,Downtown,1.5,1.75,Debit Card,SUV,2.62
1158,2025-01-07,Prescott Street,Downtown,1.5,1.75,Coin,Car,2.62
1159,2025-01-07,Churchill Square,Churchill Square,1.0,1.0,Credit Card,Car,1.0
1160,2025-01-07,Water Street,Downtown,1.5,1.75,Credit Card,Car,2.62
1161,2025-01-07,Prescott Street,Downtown,1.0,1.75,Mobile App,Truck,1.75
1162,2025-01-07,Harbour Drive,Downtown,1.5,1.75,Coin,SUV,2.62
1163,2025-01-07,Harbour Drive,Downtown,0.5,1.75,Mobile App,Car,0.88
1164,2025-01-08,Elizabeth Avenue,University Area,1.0,1.25,Credit Card,Car,1.25
1165,2025-01-08,Duckworth Street,Downtown,1.0,1.75,Mobile App,Car,1.75
1166,2025-01-08,Duckworth Street,Downtown,2.0,1.75,Credit Card,Car,3.5
1167,2025-01-08,Elizabeth Avenue,University Area,1.0,1.25,Mobile App,Car,1.25
1168,2025-01-08,Prescott Street,Downtown,2.0,1.75,Debit Card,Car,3.5
1169,2025-01-08,Elizabeth Avenue,University Area,1.0,1.25,Debit Card,SUV,1.25
1170,2025-01-08,Duckworth Street,Downtown,2.0,1.75,Mobile App,Car,3.5
1171,2025-01-08,Harbour Drive,Downtown,2.5,1.75,Credit Card,SUV,4.38
1172,2025-01-08,Churchill Square,Churchill Square,2.5,1.0,Mobile App,Car,2.5
1173,2025-01-08,Water Street,Downtown,2.0,1.75,Mobile App,SUV,3.5
1174,2025-01-08,Water Street,Downtown,1.0,1.75,Mobile App,Car,1.75
1175,2025-01-08,Water Street,Downtown,1.0,1.75,Credit Card,Car,1.75
1176,2025-01-08,Water Street,Downtown,1.5,1.75,Mobile App,SUV,2.62
1177,2025-01-08,Duckworth Street,Downtown,1.5,1.75,Credit Card,SUV,2.62
1178,2025-01-08,Duckworth Street,Downtown,1.0,1.75,Mobile App,SUV,1.75
1179,2025-01-08,Duckworth Street,Downtown,1.0,1.75,Credit Card,Car,1.75
1180,2025-01-08,Water Street,Downtown,1.0,1.75,Mobile App,Car,1.75
1181,2025-01-08,Prescott Street,Downtown,2.5,1.75,Mobile App,Truck,4.38
1182,2025-01-08,Water Street,Downtown,0.5,1.75,Credit Card,Car,0.88
1183,2025-01-08,Prescott Street,Downtown,3.0,1.75,Debit Card,SUV,5.25
1184,2025-01-08,Harbour Drive,Downtown,2.5,1.75,Debit Card,Car,4.38
1185,2025-01-08,Elizabeth Avenue,University Area,2.0,1.25,Coin,SUV,2.5
1186,2025-01-08,Duckworth Street,Downtown,1.0,1.75,Debit Card,Car,1.75
1187,2025-01-08,Elizabeth Avenue,University Area,2.0,1.25,Mobile App,SUV,2.5
1188,2025-01-08,Prescott Street,Downtown,0.5,1.75,Credit Card,Car,0.88
1189,2025-01-08,Churchill Square,Churchill Square,1.5,1.0,Coin,Car,1.5
1190,2025-01-08,Harbour Drive,Downtown,0.5,1.75,Mobile App,Car,0.88
1191,2025-01-08,Duckworth Street,Downtown,3.0,1.75,Mobile App,Truck,5.25
1192,2025-01-08,Water Street,Downtown,1.0,1.75,Mobile App,Car,1.75
1193,2025-01-08,Elizabeth Avenue,University Area,1.5,1.25,Mobile App,Van,1.88
1194,2025-01-08,Elizabeth Avenue,University Area,2.0,1.25,Mobile App,Van,2.5
1195,2025-01-08,Harbour Drive,Downtown,3.0,1.75,Mobile App,Car,5.25
1196,2025-01-08,Elizabeth Avenue,University Area,0.5,1.25,Debit Card,Truck,0.62
1197,2025-01-09,Prescott Street,Downtown,1.0,1.75,Mobile App,Truck,1.75
1198,2025-01-09,Harbour Drive,Downtown,2.0,1.75,Debit Card,Car,3.5
1199,2025-01-09,Duckworth Street,Downtown,1.5,1.75,Debit Card,Car,2.62
1200,2025-01-09,Elizabeth Avenue,University Area,2.5,1.25,Credit Card,SUV,3.12
1201,2025-01-09,Water Street,Downtown,1.0,1.75,Debit Card,Car,1.75
1202,2025-01-09,Elizabeth Avenue,University Area,0.5,1.25,Mobile App,SUV,0.62
1203,2025-01-09,Elizabeth Avenue,University Area,3.0,1.25,Credit Card,Car,3.75
1204,2025-01-09,Prescott Street,Downtown,2.0,1.75,Credit Card,SUV,3.5
1205,2025-01-09,Harbour Drive,Downtown,2.0,1.75,Mobile App,Car,3.5
1206,2025-01-09,Churchill Square,Churchill Square,2.0,1.0,Mobile App,Car,2.0
1207,2025-01-09,Duckworth Street,Downtown,2.0,1.75,Debit Card,Car,3.5
1208,2025-01-09,Elizabeth Avenue,University Area,1.5,1.25,Mobile App,Car,1.88
1209,2025-01-09,Prescott Street,Downtown,1.5,1.75,Debit Card,Car,2.62
1210,2025-01-09,Prescott Street,Downtown,2.0,1.75,Credit Card,SUV,3.5
1211,2025-01-09,Harbour Drive,Downtown,1.5,1.75,Credit Card,SUV,2.62
1212,2025-01-10,Elizabeth Avenue,University Area,2.5,1.25,Credit Card,Car,3.12
1213,2025-01-10,Duckworth Street,Downtown,3.0,1.75,Mobile App,SUV,5.25
1214,2025-01-10,Elizabeth Avenue,University Area,0.5,1.25,Mobile App,SUV,0.62
1215,2025-01-10,Harbour Drive,Downtown,3.0,1.75,Credit Card,SUV,5.25
1216,2025-01-10,Churchill Square,Churchill Square,2.0,1.0,Mobile App,SUV,2.0
1217,2025-01-10,Duckworth Street,Downtown,0.5,1.75,Mobile App,Car,0.88
1218,2025-01-10,Water Street,Downtown,3.0,1.75,Credit Card,Car,5.25
1219,2025-01-10,Churchill Square,Churchill Square,1.0,1.0,Mobile App,Truck,1.0
1220,2025-01-10,Water Street,Downtown,2.5,1.75,Credit Card,SUV,4.38
1221,2025-01-10,Churchill Square,Churchill Square,1.5,1.0,Debit Card,Car,1.5
1222,2025-01-10,Water Street,Downtown,0.5,1.75,Mobile App,Car,0.88
1223,2025-01-10,Water Street,Downtown,2.5,1.75,Coin,Car,4.38
1224,2025-01-10,Harbour Drive,Downtown,2.0,1.75,Credit Card,Car,3.5
1225,2025-01-10,Prescott Street,Downtown,2.5,1.75,Mobile App,SUV,4.38
1226,2025-01-10,Prescott Street,Downtown,1.5,1.75,Coin,Car,2.62
1227,2025-01-10,Harbour Drive,Downtown,2.0,1.75,Mobile App,SUV,3.5
1228,2025-01-10,Water Street,Downtown,3.0,1.75,Mobile App,Car,5.25
1229,2025-01-10,Prescott Street,Downtown,1.5,1.75,Mobile App,Car,2.62
1230,2025-01-10,Churchill Square,Churchill Square,1.5,1.0,Mobile App,SUV,1.5
1231,2025-01-10,Elizabeth Avenue,University Area,1.0,1.25,Mobile App,Car,1.25
1232,2025-01-10,Elizabeth Avenue,University Area,2.5,1.25,Credit Card,Car,3.12
1233,2025-01-10,Harbour Drive,Downtown,1.5,1.75,Credit Card,Car,2.62
1234,2025-01-10,Duckworth Street,Downtown,1.5,1.75,Debit Card,Car,2.62
1235,2025-01-10,Churchill Square,Churchill Square,0.5,1.0,Debit Card,Car,0.5
1236,2025-01-10,Harbour Drive,Downtown,2.0,1.75,Mobile App,Car,3.5
1237,2025-01-10,Prescott Street,Downtown,2.5,1.75,Debit Card,Car,4.38
1238,2025-01-10,Water Street,Downtown,1.0,1.75,Mobile App,SUV,1.75
1239,2025-01-10,Churchill Square,Churchill Square,2.0,1.0,Mobile App,SUV,2.0
1240,2025-01-10,Harbour Drive,Downtown,2.0,1.75,Mobile App,Car,3.5
1241,2025-01-10,Elizabeth Avenue,University Area,2.0,1.25,Debit Card,Van,2.5
1242,2025-01-10,Prescott Street,Downtown,2.0,1.75,Mobile App,Car,3.5
1243,2025-01-10,Duckworth Street,Downtown,0.5,1.75,Mobile App,Car,0.88
1244,2025-01-10,Harbour Drive,Downtown,1.0,1.75,Debit Card,SUV,1.75
1245,2025-01-11,Water Street,Downtown,2.0,1.75,Mobile App,Car,3.5
1246,2025-01-11,Duckworth Street,Downtown,1.0,1.75,Mobile App,Truck,1.75
1247,2025-01-11,Churchill Square,Churchill Square,1.5,1.0,Credit Card,Car,1.5
1248,2025-01-11,Prescott Street,Downtown,1.0,1.75,Coin,SUV,1.75
1249,2025-01-11,Water Street,Downtown,2.5,1.75,Credit Card,Truck,4.38
1250,2025-01-11,Water Street,Downtown,1.5,1.75,Credit Card,SUV,2.62
1251,2025-01-11,Duckworth Street,Downtown,2.0,1.75,Mobile App,Car,3.5
1252,2025-01-11,Harbour Drive,Downtown,1.5,1.75,Mobile App,Truck,2.62
1253,2025-01-11,Duckworth Street,Downtown,1.0,1.75,Mobile App,Truck,1.75
1254,2025-01-11,Churchill Square,Churchill Square,2.0,1.0,Credit Card,Car,2.0
1255,2025-01-11,Churchill Square,Churchill Square,2.0,1.0,Debit Card,Car,2.0
1256,2025-01-11,Duckworth Street,Downtown,1.0,1.75,Mobile App,Car,1.75
1257,2025-01-11,Harbour Drive,Downtown,2.0,1.75,Credit Card,SUV,3.5
1258,2025-01-11,Duckworth Street,Downtown,2.5,1.75,Mobile App,Car,4.38
1259,2025-01-11,Duckworth Street,Downtown,1.5,1.75,Mobile App,Van,2.62
1260,2025-01-11,Water Street,Downtown,0.5,1.75,Credit Card,Car,0.88
1261,2025-01-11,Churchill Square,Churchill Square,2.5,1.0,Mobile App,Truck,2.5
1262,2025-01-11,Harbour Drive,Downtown,1.0,1.75,Credit Card,Car,1.75
1263,2025-01-11,Elizabeth Avenue,University Area,1.0,1.25,Credit Card,Car,1.25
1264,2025-01-11,Prescott Street,Downtown,1.0,1.75,Debit Card,Truck,1.75
1265,2025-01-11,Harbour Drive,Downtown,2.0,1.75,Mobile App,SUV,3.5
1266,2025-01-11,Churchill Square,Churchill Square,1.0,1.0,Mobile App,Car,1.0
1267,2025-01-11,Churchill Square,Churchill Square,2.0,1.0,Mobile App,Car,2.0
1268,2025-01-11,Harbour Drive,Downtown,0.5,1.75,Mobile App,Van,0.88
1269,2025-01-11,Elizabeth Avenue,University Area,2.0,1.25,Mobile App,Car,2.5
1270,2025-01-11,Harbour Drive,Downtown,3.0,1.75,Debit Card,SUV,5.25
1271,2025-01-11,Water Street,Downtown,1.0,1.75,Credit Card,Truck,1.75
1272,2025-01-11,Churchill Square,Churchill Square,2.0,1.0,Credit Card,SUV,2.0
1273,2025-01-11,Water Street,Downtown,2.5,1.75,Credit Card,SUV,4.38
1274,2025-01-11,Water Street,Downtown,3.0,1.75,Mobile App,SUV,5.25
1275,2025-01-11,Water Street,Downtown,1.0,1.75,Credit Card,Truck,1.75
1276,2025-01-11,Elizabeth Avenue,University Area,1.0,1.25,Debit Card,Car,1.25
1277,2025-01-12,Harbour Drive,Downtown,3.0,1.75,Credit Card,Truck,5.25
1278,2025-01-12,Harbour Drive,Downtown,1.0,1.75,Debit Card,Car,1.75
1279,2025-01-12,Harbour Drive,Downtown,1.5,1.75,Credit Card,Truck,2.62
1280,2025-01-12,Harbour Drive,Downtown,1.0,1.75,Credit Card,Car,1.75
1281,2025-01-12,Water Street,Downtown,1.5,1.75,Credit Card,SUV,2.62
1282,2025-01-12,Water Street,Downtown,2.5,1.75,Credit Card,Car,4.38
1283,2025-01-12,Harbour Drive,Downtown,2.5,1.75,Mobile App,Truck,4.38
1284,2025-01-12,Churchill Square,Churchill Square,1.5,1.0,Coin,Car,1.5
1285,2025-01-12,Elizabeth Avenue,University Area,1.0,1.25,Debit Card,Car,1.25
1286,2025-01-12,Churchill Square,Churchill Square,1.5,1.0,Credit Card,Car,1.5
1287,2025-01-12,Water Street,Downtown,2.0,1.75,Mobile App,Car,3.5
1288,2025-01-12,Churchill Square,Churchill Square,2.0,1.0,Mobile App,Car,2.0
1289,2025-01-12,Elizabeth Avenue,University Area,2.5,1.25,Credit Card,SUV,3.12
1290,2025-01-12,Water Street,Downtown,2.5,1.75,Mobile App,Car,4.38
1291,2025-01-12,Water Street,Downtown,2.0,1.75,Mobile App,Van,3.5
1292,2025-01-12,Churchill Square,Churchill Square,1.0,1.0,Credit Card,Van,1.0
1293,2025-01-12,Elizabeth Avenue,University Area,2.0,1.25,Debit Card,Van,2.5
1294,2025-01-12,Prescott Street,Downtown,0.5,1.75,Mobile App,Truck,0.88
1295,2025-01-12,Elizabeth Avenue,University Area,2.0,1.25,Credit Card,Car,2.5
1296,2025-01-12,Duckworth Street,Downtown,1.5,1.75,Mobile App,Van,2.62
1297,2025-01-12,Elizabeth Avenue,University Area,2.0,1.25,Credit Card,Car,2.5
1298,2025-01-12,Water Street,Downtown,3.0,1.75,Coin,Car,5.25
1299,2025-01-13,Duckworth Street,Downtown,1.5,1.75,Coin,Truck,2.62
1300,2025-01-13,Harbour Drive,Downtown,1.0,1.75,Mobile App,SUV,1.75
1301,2025-01-13,Water Street,Downtown,2.5,1.75,Debit Card,Car,4.38
1302,2025-01-13,Harbour Drive,Downtown,1.0,1.75,Credit Card,Car,1.75
1303,2025-01-13,Duckworth Street,Downtown,2.5,1.75,Debit Card,SUV,4.38
1304,2025-01-13,Churchill Square,Churchill Square,2.0,1.0,Mobile App,Car,2.0
1305,2025-01-13,Elizabeth Avenue,University Area,1.0,1.25,Credit Card,Car,1.25
1306,2025-01-13,Elizabeth Avenue,University Area,3.0,1.25,Mobile App,Truck,3.75
1307,2025-01-13,Churchill Square,Churchill Square,2.5,1.0,Credit Card,Car,2.5
1308,2025-01-13,Churchill Square,Churchill Square,2.5,1.0,Credit Card,SUV,2.5
1309,2025-01-13,Harbour Drive,Downtown,2.5,1.75,Debit Card,SUV,4.38
1310,2025-01-13,Prescott Street,Downtown,2.5,1.75,Debit Card,SUV,4.38
1311,2025-01-13,Harbour Drive,Downtown,1.0,1.75,Coin,Car,1.75
1312,2025-01-13,Harbour Drive,Downtown,2.0,1.75,Mobile App,Truck,3.5
1313,2025-01-13,Duckworth Street,Downtown,1.5,1.75,Debit Card,Car,2.62
1314,2025-01-13,Harbour Drive,Downtown,1.0,1.75,Debit Card,Car,1.75
1315,2025-01-13,Duckworth Street,Downtown,2.5,1.75,Credit Card,Car,4.38
1316,2025-01-13,Churchill Square,Churchill Square,2.0,1.0,Coin,SUV,2.0
